1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
2212,"25211","0250","2","","","","é†âÍåß","åŒìÏés","çÇèºí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2213,"25211","0260","2","","","","é†âÍåß","åŒìÏés","ì˙é}í¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2214,"25211","0270","2","","","","é†âÍåß","åŒìÏés","êºïÙí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2215,"25211","0280","2","","","","é†âÍåß","åŒìÏés","é·í|í¨","",820,5,5,-,-,34,387,2,5,46,85,8,4,20,39,17,16,65,2,37,9,39,510,4,4,-,-,27,296,2,4,33,36,1,2,15,7,6,8,14,1,23,6,25,310,1,1,-,-,7,91,-,1,13,49,7,2,5,32,11,8,51,1,14,3,14
2216,"25211","0290","2","","","","é†âÍåß","åŒìÏés","ä‚ç™íÜâõ","",420,4,4,-,-,20,202,1,1,30,39,6,4,5,18,8,8,23,1,12,8,30,270,3,3,-,-,14,159,1,1,20,10,3,1,3,10,3,2,3,-,6,7,24,150,1,1,-,-,6,43,-,-,10,29,3,3,2,8,5,6,20,1,6,1,6
2217,"25211","029001","3","","","","é†âÍåß","åŒìÏés","ä‚ç™íÜâõ","ÇPíöñ⁄",53,-,-,-,-,2,31,-,-,4,2,1,1,1,2,-,1,2,-,-,2,4,39,-,-,-,-,2,25,-,-,3,1,1,-,-,2,-,-,1,-,-,1,3,14,-,-,-,-,-,6,-,-,1,1,-,1,1,-,-,1,1,-,-,1,1
2218,"25211","029002","3","","","","é†âÍåß","åŒìÏés","ä‚ç™íÜâõ","ÇQíöñ⁄",149,2,2,-,-,7,81,1,-,8,9,2,2,3,10,3,4,7,-,2,-,8,101,2,2,-,-,4,65,1,-,4,2,1,-,3,6,2,1,1,-,1,-,8,48,-,-,-,-,3,16,-,-,4,7,1,2,-,4,1,3,6,-,1,-,-
2219,"25211","029003","3","","","","é†âÍåß","åŒìÏés","ä‚ç™íÜâõ","ÇRíöñ⁄",218,2,2,-,-,11,90,-,1,18,28,3,1,1,6,5,3,14,1,10,6,18,130,1,1,-,-,8,69,-,1,13,7,1,1,-,2,1,1,1,-,5,6,13,88,1,1,-,-,3,21,-,-,5,21,2,-,1,4,4,2,13,1,5,-,5
2220,"25211","0301","2","çáéZínàÊÇ†ÇË","","030101;030102","é†âÍåß","åŒìÏés","êŒïîóŒë‰","",17,-,-,-,-,1,3,-,1,2,2,-,-,1,-,2,-,3,-,2,-,-,11,-,-,-,-,1,2,-,1,-,2,-,-,1,-,2,-,1,-,1,-,-,6,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,2,-,1,-,-
2221,"25211","030101","3","îÈìΩínàÊ","0301","","é†âÍåß","åŒìÏés","êŒïîóŒë‰","ÇPíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2222,"25211","030102","3","îÈìΩínàÊ","0301","","é†âÍåß","åŒìÏés","êŒïîóŒë‰","ÇQíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2223,"25211","0302","2","","","","é†âÍåß","åŒìÏés","êŒïîñk","",81,-,-,-,-,6,35,-,2,7,7,-,2,4,5,2,1,4,-,4,-,2,52,-,-,-,-,6,28,-,2,4,3,-,1,3,1,-,1,1,-,2,-,-,29,-,-,-,-,-,7,-,-,3,4,-,1,1,4,2,-,3,-,2,-,2
2224,"25211","030201","3","çáéZínàÊÇ†ÇË","","030202","é†âÍåß","åŒìÏés","êŒïîñk","ÇPíöñ⁄",70,-,-,-,-,4,30,-,2,6,6,-,2,4,4,2,1,4,-,3,-,2,44,-,-,-,-,4,24,-,2,3,2,-,1,3,1,-,1,1,-,2,-,-,26,-,-,-,-,-,6,-,-,3,4,-,1,1,3,2,-,3,-,1,-,2
2225,"25211","030202","3","îÈìΩínàÊ","030201","","é†âÍåß","åŒìÏés","êŒïîñk","ÇQíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2226,"25211","030203","3","","","","é†âÍåß","åŒìÏés","êŒïîñk","ÇRíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2227,"25211","030204","3","","","","é†âÍåß","åŒìÏés","êŒïîñk","ÇSíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2228,"25211","030205","3","","","","é†âÍåß","åŒìÏés","êŒïîñk","ÇTíöñ⁄",11,-,-,-,-,2,5,-,-,1,1,-,-,-,1,-,-,-,-,1,-,-,8,-,-,-,-,2,4,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
2229,"25211","0303","2","","","","é†âÍåß","åŒìÏés","êŒïîå˚","",74,1,1,-,-,5,34,-,1,8,9,1,-,2,3,1,-,4,-,1,1,3,57,1,1,-,-,3,31,-,1,7,6,1,-,2,1,-,-,-,-,-,1,3,17,-,-,-,-,2,3,-,-,1,3,-,-,-,2,1,-,4,-,1,-,-
2230,"25211","030301","3","","","","é†âÍåß","åŒìÏés","êŒïîå˚","ÇPíöñ⁄",44,1,1,-,-,2,12,-,1,6,8,1,-,2,3,1,-,4,-,1,1,1,28,1,1,-,-,1,9,-,1,5,5,1,-,2,1,-,-,-,-,-,1,1,16,-,-,-,-,1,3,-,-,1,3,-,-,-,2,1,-,4,-,1,-,-
2231,"25211","030302","3","","","","é†âÍåß","åŒìÏés","êŒïîå˚","ÇQíöñ⁄",9,-,-,-,-,3,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,2,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2232,"25211","030303","3","","","","é†âÍåß","åŒìÏés","êŒïîå˚","ÇRíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2233,"25211","030304","3","","","","é†âÍåß","åŒìÏés","êŒïîå˚","ÇSíöñ⁄",21,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2234,"25211","0304","2","","","","é†âÍåß","åŒìÏés","âJéR","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2235,"25211","030401","3","","","","é†âÍåß","åŒìÏés","âJéR","ÇPíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2236,"25211","030402","3","","","","é†âÍåß","åŒìÏés","âJéR","ÇQíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2237,"25211","0305","2","","","","é†âÍåß","åŒìÏés","êŒïî","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2238,"25211","0311","2","","","","é†âÍåß","åŒìÏés","ìåéõ","",195,10,10,-,-,9,56,-,1,9,13,2,-,1,7,2,7,54,1,3,8,12,106,8,8,-,-,9,34,-,1,6,5,1,-,1,2,1,2,21,1,2,5,7,89,2,2,-,-,-,22,-,-,3,8,1,-,-,5,1,5,33,-,1,3,5
2239,"25211","031101","3","","","","é†âÍåß","åŒìÏés","ìåéõ","ÇPíöñ⁄",13,-,-,-,-,-,5,-,-,1,1,-,-,-,-,-,1,5,-,-,-,-,3,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-
2240,"25211","031102","3","","","","é†âÍåß","åŒìÏés","ìåéõ","ÇQíöñ⁄",99,6,6,-,-,5,28,-,1,6,5,1,-,-,4,-,2,34,-,1,4,2,51,4,4,-,-,5,18,-,1,3,1,-,-,-,1,-,-,14,-,1,2,1,48,2,2,-,-,-,10,-,-,3,4,1,-,-,3,-,2,20,-,-,2,1
2241,"25211","031103","3","çáéZínàÊÇ†ÇË","","031104","é†âÍåß","åŒìÏés","ìåéõ","ÇRíöñ⁄",55,2,2,-,-,3,17,-,-,2,5,1,-,-,2,-,2,12,1,2,3,3,33,2,2,-,-,3,10,-,-,2,3,1,-,-,-,-,1,5,1,1,3,1,22,-,-,-,-,-,7,-,-,-,2,-,-,-,2,-,1,7,-,1,-,2
2242,"25211","031104","3","îÈìΩínàÊ","031103","","é†âÍåß","åŒìÏés","ìåéõ","ÇSíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2243,"25211","031105","3","","","","é†âÍåß","åŒìÏés","ìåéõ","ÇTíöñ⁄",28,2,2,-,-,1,6,-,-,-,2,-,-,1,1,2,2,3,-,-,1,7,19,2,2,-,-,1,5,-,-,-,-,-,-,1,1,1,1,2,-,-,-,5,9,-,-,-,-,-,1,-,-,-,2,-,-,-,-,1,1,1,-,-,1,2
2244,"25211","0312","2","","","","é†âÍåß","åŒìÏés","ìåéõ","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2245,"25211","0321","2","","","","é†âÍåß","åŒìÏés","êºéõ","",109,10,10,-,-,8,27,-,-,9,9,-,2,2,6,2,1,11,-,5,2,15,61,7,7,-,-,7,18,-,-,6,5,-,-,1,1,2,-,2,-,3,1,8,48,3,3,-,-,1,9,-,-,3,4,-,2,1,5,-,1,9,-,2,1,7
2246,"25211","032101","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇPíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2247,"25211","032102","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇQíöñ⁄",21,-,-,-,-,1,6,-,-,3,2,-,-,1,2,-,-,3,-,-,1,2,11,-,-,-,-,1,4,-,-,1,1,-,-,-,1,-,-,1,-,-,1,1,10,-,-,-,-,-,2,-,-,2,1,-,-,1,1,-,-,2,-,-,-,1
2248,"25211","032103","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇRíöñ⁄",21,-,-,-,-,3,6,-,-,2,2,-,-,1,2,-,-,1,-,-,1,3,13,-,-,-,-,3,4,-,-,2,1,-,-,1,-,-,-,-,-,-,-,2,8,-,-,-,-,-,2,-,-,-,1,-,-,-,2,-,-,1,-,-,1,1
2249,"25211","032104","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇSíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2250,"25211","032105","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇTíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2251,"25211","032106","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇUíöñ⁄",67,10,10,-,-,4,15,-,-,4,5,-,2,-,2,2,1,7,-,5,-,10,37,7,7,-,-,3,10,-,-,3,3,-,-,-,-,2,-,1,-,3,-,5,30,3,3,-,-,1,5,-,-,1,2,-,2,-,2,-,1,6,-,2,-,5
2252,"25211","032107","3","","","","é†âÍåß","åŒìÏés","êºéõ","ÇVíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2253,"25211","0322","2","","","","é†âÍåß","åŒìÏés","êºéõ","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2254,"25211","0330","2","","","","é†âÍåß","åŒìÏés","ã{ÇÃêX","",428,2,2,-,-,24,145,2,2,32,51,3,6,9,18,13,22,49,4,22,13,11,241,1,1,-,-,17,106,2,1,24,20,1,3,7,8,5,8,12,2,12,9,3,187,1,1,-,-,7,39,-,1,8,31,2,3,2,10,8,14,37,2,10,4,8
2255,"25211","033001","3","","","","é†âÍåß","åŒìÏés","ã{ÇÃêX","ÇPíöñ⁄",195,1,1,-,-,11,58,-,1,11,23,3,4,1,11,8,13,24,2,11,8,5,98,1,1,-,-,6,37,-,1,8,7,1,2,1,4,4,6,6,1,5,6,2,97,-,-,-,-,5,21,-,-,3,16,2,2,-,7,4,7,18,1,6,2,3
2256,"25211","033002","3","","","","é†âÍåß","åŒìÏés","ã{ÇÃêX","ÇQíöñ⁄",233,1,1,-,-,13,87,2,1,21,28,-,2,8,7,5,9,25,2,11,5,6,143,-,-,-,-,11,69,2,-,16,13,-,1,6,4,1,2,6,1,7,3,1,90,1,1,-,-,2,18,-,1,5,15,-,1,2,3,4,7,19,1,4,2,5
2257,"25211","0340","2","","","","é†âÍåß","åŒìÏés","ïÛóàç‚","",643,4,4,-,-,40,214,1,6,46,98,5,4,7,28,30,19,73,2,33,14,19,372,3,3,-,-,36,157,1,5,31,42,4,3,5,6,21,7,16,2,13,8,12,271,1,1,-,-,4,57,-,1,15,56,1,1,2,22,9,12,57,-,20,6,7
2258,"25211","034001","3","","","","é†âÍåß","åŒìÏés","ïÛóàç‚","ÇPíöñ⁄",289,4,4,-,-,23,99,-,1,18,42,2,3,4,18,7,7,35,1,12,6,7,166,3,3,-,-,20,70,-,1,15,17,2,2,3,5,5,3,8,1,4,3,4,123,1,1,-,-,3,29,-,-,3,25,-,1,1,13,2,4,27,-,8,3,3
2259,"25211","034002","3","","","","é†âÍåß","åŒìÏés","ïÛóàç‚","ÇQíöñ⁄",171,-,-,-,-,7,57,-,2,16,25,1,1,3,6,8,6,20,-,9,5,5,100,-,-,-,-,6,42,-,2,8,13,1,1,2,1,4,2,6,-,4,4,4,71,-,-,-,-,1,15,-,-,8,12,-,-,1,5,4,4,14,-,5,1,1
2260,"25211","034003","3","","","","é†âÍåß","åŒìÏés","ïÛóàç‚","ÇRíöñ⁄",164,-,-,-,-,9,51,1,3,10,30,2,-,-,4,13,6,13,1,11,3,7,94,-,-,-,-,9,39,1,2,7,11,1,-,-,-,10,2,2,1,4,1,4,70,-,-,-,-,-,12,-,1,3,19,1,-,-,4,3,4,11,-,7,2,3
2261,"25211","034004","3","","","","é†âÍåß","åŒìÏés","ïÛóàç‚","ÇSíöñ⁄",19,-,-,-,-,1,7,-,-,2,1,-,-,-,-,2,-,5,-,1,-,-,12,-,-,-,-,1,6,-,-,1,1,-,-,-,-,2,-,-,-,1,-,-,7,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,5,-,-,-,-
2262,"25211","0350","2","","","","é†âÍåß","åŒìÏés","â™èo","",332,8,8,-,-,17,103,-,4,24,51,3,3,4,4,11,15,46,3,20,6,10,184,6,6,-,-,14,71,-,4,19,18,-,2,2,3,6,8,5,2,15,3,6,148,2,2,-,-,3,32,-,-,5,33,3,1,2,1,5,7,41,1,5,3,4
2263,"25211","035001","3","","","","é†âÍåß","åŒìÏés","â™èo","ÇPíöñ⁄",148,3,3,-,-,8,46,-,3,12,19,3,1,3,3,6,4,20,2,6,5,4,83,2,2,-,-,7,33,-,3,10,9,-,1,1,2,3,2,1,1,4,3,1,65,1,1,-,-,1,13,-,-,2,10,3,-,2,1,3,2,19,1,2,2,3
2264,"25211","035002","3","","","","é†âÍåß","åŒìÏés","â™èo","ÇQíöñ⁄",184,5,5,-,-,9,57,-,1,12,32,-,2,1,1,5,11,26,1,14,1,6,101,4,4,-,-,7,38,-,1,9,9,-,1,1,1,3,6,4,1,11,-,5,83,1,1,-,-,2,19,-,-,3,23,-,1,-,-,2,5,22,-,3,1,1
2265,"25211","0360","2","","","","é†âÍåß","åŒìÏés","êŒïîêº","",645,16,14,-,3,34,221,3,7,42,95,13,7,9,26,19,26,53,6,24,26,15,374,11,10,-,3,29,161,3,5,26,45,4,4,4,11,7,8,10,4,15,13,11,271,5,4,-,-,5,60,-,2,16,50,9,3,5,15,12,18,43,2,9,13,4
2266,"25211","036001","3","","","","é†âÍåß","åŒìÏés","êŒïîêº","ÇPíöñ⁄",291,8,8,-,-,11,84,1,3,21,48,6,5,2,14,7,12,26,5,18,14,6,160,6,6,-,-,10,56,1,2,13,23,2,3,1,6,2,4,5,3,12,8,3,131,2,2,-,-,1,28,-,1,8,25,4,2,1,8,5,8,21,2,6,6,3
2267,"25211","036002","3","","","","é†âÍåß","åŒìÏés","êŒïîêº","ÇQíöñ⁄",186,5,3,-,-,15,60,2,3,15,26,3,2,7,9,2,9,13,1,3,8,3,106,3,2,-,-,12,40,2,2,9,12,1,1,3,4,2,3,3,1,2,3,3,80,2,1,-,-,3,20,-,1,6,14,2,1,4,5,-,6,10,-,1,5,-
2268,"25211","036003","3","","","","é†âÍåß","åŒìÏés","êŒïîêº","ÇRíöñ⁄",168,3,3,-,3,8,77,-,1,6,21,4,-,-,3,10,5,14,-,3,4,6,108,2,2,-,3,7,65,-,1,4,10,1,-,-,1,3,1,2,-,1,2,5,60,1,1,-,-,1,12,-,-,2,11,3,-,-,2,7,4,12,-,2,2,1
2269,"25211","0370","2","","","","é†âÍåß","åŒìÏés","êŒïîíÜâõ","",971,13,12,-,-,40,323,3,9,69,150,10,15,17,28,38,34,92,6,53,28,43,559,11,10,-,-,31,230,3,8,50,70,3,10,7,11,12,13,20,4,32,16,28,412,2,2,-,-,9,93,-,1,19,80,7,5,10,17,26,21,72,2,21,12,15
2270,"25211","037001","3","","","","é†âÍåß","åŒìÏés","êŒïîíÜâõ","ÇPíöñ⁄",153,2,2,-,-,7,48,-,3,13,28,-,4,3,5,4,6,10,2,9,6,3,91,1,1,-,-,5,36,-,2,10,11,-,3,2,3,1,2,1,1,6,5,2,62,1,1,-,-,2,12,-,1,3,17,-,1,1,2,3,4,9,1,3,1,1
2271,"25211","037002","3","","","","é†âÍåß","åŒìÏés","êŒïîíÜâõ","ÇQíöñ⁄",158,2,2,-,-,2,51,1,3,16,28,-,4,3,6,5,4,16,-,10,4,3,85,2,2,-,-,1,34,1,3,9,14,-,2,-,2,1,3,3,-,6,2,2,73,-,-,-,-,1,17,-,-,7,14,-,2,3,4,4,1,13,-,4,2,1
2272,"25211","037003","3","","","","é†âÍåß","åŒìÏés","êŒïîíÜâõ","ÇRíöñ⁄",167,4,3,-,-,10,41,-,1,17,27,1,2,2,4,9,4,19,1,10,4,11,94,4,3,-,-,7,26,-,1,13,16,-,1,1,1,2,1,5,-,5,3,8,73,-,-,-,-,3,15,-,-,4,11,1,1,1,3,7,3,14,1,5,1,3
