1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—1ê¢ë—ìñÇΩÇËêlàı Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,1ê¢ë—ìñÇΩÇËêlàı,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv
1393,"25204","0670","2","","","","é†âÍåß","ãﬂç]î™î¶és","âFí√òCí¨","",26,26,26,24,-,2,-,-,-,-,73,73,73,68,-,5,-,-,-,-,2.8076923077,2.8076923077,2.8076923077,2.8333333333,-,2.5000000000,-,-,-,-
1394,"25204","0680","2","","","","é†âÍåß","ãﬂç]î™î¶és","ç˜ã{í¨","",332,329,327,128,-,168,31,2,3,-,707,704,701,385,-,271,45,3,3,-,2.1295180723,2.1398176292,2.1437308869,3.0078125000,-,1.6130952381,1.4516129032,1.5000000000,1.0000000000,-
1395,"25204","0690","2","","","","é†âÍåß","ãﬂç]î™î¶és","âπâHí¨","",240,235,234,110,47,71,6,1,5,-,550,542,541,316,98,115,12,1,8,-,2.2916666667,2.3063829787,2.3119658120,2.8727272727,2.0851063830,1.6197183099,2.0000000000,1.0000000000,1.6000000000,-
1396,"25204","0700","2","","","","é†âÍåß","ãﬂç]î™î¶és","èoí¨","",955,951,941,515,4,373,49,10,4,-,2252,2243,2228,1504,5,646,73,15,9,-,2.3581151832,2.3585699264,2.3676939426,2.9203883495,1.2500000000,1.7319034853,1.4897959184,1.5000000000,2.2500000000,-
1397,"25204","0710","2","","","","é†âÍåß","ãﬂç]î™î¶és","î™î¶í¨","",287,287,285,129,109,41,6,2,-,-,549,549,547,287,206,48,6,2,-,-,1.9128919861,1.9128919861,1.9192982456,2.2248062016,1.8899082569,1.1707317073,1.0000000000,1.0000000000,-,-
1398,"25204","0720","2","","","","é†âÍåß","ãﬂç]î™î¶és","ésà‰í¨","",320,312,310,104,162,29,15,2,8,-,736,722,720,322,334,46,18,2,14,-,2.3000000000,2.3141025641,2.3225806452,3.0961538462,2.0617283951,1.5862068966,1.2000000000,1.0000000000,1.7500000000,-
1399,"25204","0730","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëΩâÍí¨","",309,308,307,214,-,91,2,1,1,-,810,809,807,628,-,169,10,2,1,-,2.6213592233,2.6266233766,2.6286644951,2.9345794393,-,1.8571428571,5.0000000000,2.0000000000,1.0000000000,-
1400,"25204","0740","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëDí¨","",6,6,6,6,-,-,-,-,-,-,18,18,18,18,-,-,-,-,-,-,3.0000000000,3.0000000000,3.0000000000,3.0000000000,-,-,-,-,-,-
1401,"25204","0750","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkîVèØí¨","",433,431,428,349,-,72,7,3,2,-,1304,1302,1299,1131,-,159,9,3,2,-,3.0115473441,3.0208816705,3.0350467290,3.2406876791,-,2.2083333333,1.2857142857,1.0000000000,1.0000000000,-
1402,"25204","0760","2","","","","é†âÍåß","ãﬂç]î™î¶és","â~éRí¨","",78,76,75,73,-,2,-,1,2,-,280,276,275,268,-,7,-,1,4,-,3.5897435897,3.6315789474,3.6666666667,3.6712328767,-,3.5000000000,-,1.0000000000,2.0000000000,-
1403,"25204","0770","2","","","","é†âÍåß","ãﬂç]î™î¶és","îíâ§í¨","",63,61,61,61,-,-,-,-,2,-,261,253,253,253,-,-,-,-,8,-,4.1428571429,4.1475409836,4.1475409836,4.1475409836,-,-,-,-,4.0000000000,-
1404,"25204","0780","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìáí¨","",61,61,61,61,-,-,-,-,-,-,212,212,212,212,-,-,-,-,-,-,3.4754098361,3.4754098361,3.4754098361,3.4754098361,-,-,-,-,-,-
1405,"25204","0790","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkí√ìcí¨","",136,134,134,133,-,1,-,-,2,-,411,406,406,404,-,2,-,-,5,-,3.0220588235,3.0298507463,3.0298507463,3.0375939850,-,2.0000000000,-,-,2.5000000000,-
1406,"25204","0800","2","","","","é†âÍåß","ãﬂç]î™î¶és","íÜîVèØí¨","",44,44,44,44,-,-,-,-,-,-,158,158,158,158,-,-,-,-,-,-,3.5909090909,3.5909090909,3.5909090909,3.5909090909,-,-,-,-,-,-
1407,"25204","0810","2","","","","é†âÍåß","ãﬂç]î™î¶és","í∑ñΩéõí¨","",56,56,56,54,-,-,2,-,-,-,169,169,169,161,-,-,8,-,-,-,3.0178571429,3.0178571429,3.0178571429,2.9814814815,-,-,4.0000000000,-,-,-
1408,"25204","0820","2","","","","é†âÍåß","ãﬂç]î™î¶és","â´ìáí¨","",129,117,117,116,-,-,1,-,12,-,287,275,275,274,-,-,1,-,12,-,2.2248062016,2.3504273504,2.3504273504,2.3620689655,-,-,1.0000000000,-,1.0000000000,-
1409,"25204","0830","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÂíÜí¨","",74,73,73,73,-,-,-,-,1,-,285,282,282,282,-,-,-,-,3,-,3.8513513514,3.8630136986,3.8630136986,3.8630136986,-,-,-,-,3.0000000000,-
1410,"25204","0840","2","","","","é†âÍåß","ãﬂç]î™î¶és","í√ìcí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1411,"25204","0850","2","","","","é†âÍåß","ãﬂç]î™î¶és","êVâhí¨","",60,60,60,60,-,-,-,-,-,-,181,181,181,181,-,-,-,-,-,-,3.0166666667,3.0166666667,3.0166666667,3.0166666667,-,-,-,-,-,-
1412,"25204","0860","2","","","","é†âÍåß","ãﬂç]î™î¶és","è¨ëDñÿí¨","",481,477,477,473,-,4,-,-,4,-,1662,1655,1655,1644,-,11,-,-,7,-,3.4553014553,3.4696016771,3.4696016771,3.4756871036,-,2.7500000000,-,-,1.7500000000,-
1413,"25204","0870","2","","","","é†âÍåß","ãﬂç]î™î¶és","â¡ñŒí¨","",385,377,376,375,-,-,1,1,8,-,1311,1293,1292,1291,-,-,1,1,18,-,3.4051948052,3.4297082228,3.4361702128,3.4426666667,-,-,1.0000000000,1.0000000000,2.2500000000,-
1414,"25204","0880","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìcíÜç]í¨","",153,153,153,89,-,63,1,-,-,-,393,393,393,293,-,99,1,-,-,-,2.5686274510,2.5686274510,2.5686274510,3.2921348315,-,1.5714285714,1.0000000000,-,-,-
1415,"25204","0890","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñqí¨","",220,215,212,211,-,1,-,3,5,-,673,668,656,655,-,1,-,12,5,-,3.0590909091,3.1069767442,3.0943396226,3.1042654028,-,1.0000000000,-,4.0000000000,1.0000000000,-
1416,"25204","0900","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÂñ[í¨","",72,66,66,66,-,-,-,-,6,-,246,240,240,240,-,-,-,-,6,-,3.4166666667,3.6363636364,3.6363636364,3.6363636364,-,-,-,-,1.0000000000,-
1417,"25204","0910","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëDñÿí¨","",335,330,325,321,-,3,1,5,5,-,976,963,950,939,-,5,6,13,13,-,2.9134328358,2.9181818182,2.9230769231,2.9252336449,-,1.6666666667,6.0000000000,2.6000000000,2.6000000000,-
1418,"25204","0920","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìÏí√ìcí¨","",138,134,134,131,-,3,-,-,4,-,421,411,411,407,-,4,-,-,10,-,3.0507246377,3.0671641791,3.0671641791,3.1068702290,-,1.3333333333,-,-,2.5000000000,-
1419,"25204","0930","2","","","","é†âÍåß","ãﬂç]î™î¶és","å≥êÖåsí¨","",15,14,14,14,-,-,-,-,1,-,55,53,53,53,-,-,-,-,2,-,3.6666666667,3.7857142857,3.7857142857,3.7857142857,-,-,-,-,2.0000000000,-
1420,"25204","0940","2","","","","é†âÍåß","ãﬂç]î™î¶és","è„ìcí¨","",729,720,707,566,-,92,49,13,9,-,2001,1991,1975,1724,-,153,98,16,10,-,2.7448559671,2.7652777778,2.7934936351,3.0459363958,-,1.6630434783,2.0000000000,1.2307692308,1.1111111111,-
1421,"25204","0950","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",118,118,117,100,-,15,2,1,-,-,285,285,284,245,-,32,7,1,-,-,2.4152542373,2.4152542373,2.4273504274,2.4500000000,-,2.1333333333,3.5000000000,1.0000000000,-,-
1422,"25204","0960","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",146,146,146,133,-,13,-,-,-,-,377,377,377,345,-,32,-,-,-,-,2.5821917808,2.5821917808,2.5821917808,2.5939849624,-,2.4615384615,-,-,-,-
1423,"25204","0970","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",144,143,141,70,-,68,3,2,1,-,286,285,279,178,-,98,3,6,1,-,1.9861111111,1.9930069930,1.9787234043,2.5428571429,-,1.4411764706,1.0000000000,3.0000000000,1.0000000000,-
1424,"25204","0980","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",102,102,100,99,-,1,-,2,-,-,259,259,253,252,-,1,-,6,-,-,2.5392156863,2.5392156863,2.5300000000,2.5454545455,-,1.0000000000,-,3.0000000000,-,-
1425,"25204","0990","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",78,78,78,77,-,1,-,-,-,-,200,200,200,196,-,4,-,-,-,-,2.5641025641,2.5641025641,2.5641025641,2.5454545455,-,4.0000000000,-,-,-,-
1426,"25204","1001","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","",176,171,170,46,-,112,12,1,5,-,407,398,396,151,-,218,27,2,9,-,2.3125000000,2.3274853801,2.3294117647,3.2826086957,-,1.9464285714,2.2500000000,2.0000000000,1.8000000000,-
1427,"25204","100101","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","ÇPíöñ⁄",19,16,16,4,-,10,2,-,3,-,35,32,32,15,-,15,2,-,3,-,1.8421052632,2.0000000000,2.0000000000,3.7500000000,-,1.5000000000,1.0000000000,-,1.0000000000,-
1428,"25204","100102","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","ÇQíöñ⁄",157,155,154,42,-,102,10,1,2,-,372,366,364,136,-,203,25,2,6,-,2.3694267516,2.3612903226,2.3636363636,3.2380952381,-,1.9901960784,2.5000000000,2.0000000000,3.0000000000,-
1429,"25204","1002","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","",290,287,284,200,-,59,25,3,3,-,714,706,698,511,-,128,59,8,8,-,2.4620689655,2.4599303136,2.4577464789,2.5550000000,-,2.1694915254,2.3600000000,2.6666666667,2.6666666667,-
1430,"25204","100201","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇPíöñ⁄",15,15,15,4,-,10,1,-,-,-,30,30,30,11,-,18,1,-,-,-,2.0000000000,2.0000000000,2.0000000000,2.7500000000,-,1.8000000000,1.0000000000,-,-,-
1431,"25204","100203","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇRíöñ⁄",76,76,75,54,-,20,1,1,-,-,168,168,166,130,-,34,2,2,-,-,2.2105263158,2.2105263158,2.2133333333,2.4074074074,-,1.7000000000,2.0000000000,2.0000000000,-,-
1432,"25204","100204","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇSíöñ⁄",199,196,194,142,-,29,23,2,3,-,516,508,502,370,-,76,56,6,8,-,2.5929648241,2.5918367347,2.5876288660,2.6056338028,-,2.6206896552,2.4347826087,3.0000000000,2.6666666667,-
1433,"25204","1003","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","",929,909,905,298,-,547,60,4,20,-,2121,2099,2095,950,-,1040,105,4,22,-,2.2831001076,2.3091309131,2.3149171271,3.1879194631,-,1.9012797075,1.7500000000,1.0000000000,1.1000000000,-
1434,"25204","100301","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","ÇPíöñ⁄",258,258,256,70,-,163,23,2,-,-,589,589,587,236,-,308,43,2,-,-,2.2829457364,2.2829457364,2.2929687500,3.3714285714,-,1.8895705521,1.8695652174,1.0000000000,-,-
1435,"25204","100302","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","ÇQíöñ⁄",92,74,74,15,-,56,3,-,18,-,209,189,189,42,-,137,10,-,20,-,2.2717391304,2.5540540541,2.5540540541,2.8000000000,-,2.4464285714,3.3333333333,-,1.1111111111,-
1436,"25204","100303","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","ÇRíöñ⁄",181,181,181,107,-,63,11,-,-,-,466,466,466,329,-,123,14,-,-,-,2.5745856354,2.5745856354,2.5745856354,3.0747663551,-,1.9523809524,1.2727272727,-,-,-
1437,"25204","100304","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","ÇSíöñ⁄",398,396,394,106,-,265,23,2,2,-,857,855,853,343,-,472,38,2,2,-,2.1532663317,2.1590909091,2.1649746193,3.2358490566,-,1.7811320755,1.6521739130,1.0000000000,1.0000000000,-
1438,"25204","1004","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨","",1081,1067,1060,688,134,215,23,7,14,-,2656,2627,2615,1907,283,389,36,12,29,-,2.4569842738,2.4620431115,2.4669811321,2.7718023256,2.1119402985,1.8093023256,1.5652173913,1.7142857143,2.0714285714,-
1439,"25204","1011","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºñ{ãΩí¨ìå","",267,265,262,90,-,148,24,3,2,-,625,618,613,265,-,314,34,5,7,-,2.3408239700,2.3320754717,2.3396946565,2.9444444444,-,2.1216216216,1.4166666667,1.6666666667,3.5000000000,-
1440,"25204","1012","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºñ{ãΩí¨êº","",80,80,80,49,-,26,5,-,-,-,196,196,196,148,-,36,12,-,-,-,2.4500000000,2.4500000000,2.4500000000,3.0204081633,-,1.3846153846,2.4000000000,-,-,-
1441,"25204","1013","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºñ{ãΩí¨","",232,228,227,136,24,52,15,1,4,-,573,563,561,384,68,84,25,2,10,-,2.4698275862,2.4692982456,2.4713656388,2.8235294118,2.8333333333,1.6153846154,1.6666666667,2.0000000000,2.5000000000,-
1442,"25204","1020","2","","","","é†âÍåß","ãﬂç]î™î¶és","ã‡çÑéõí¨","",161,161,160,133,-,19,8,1,-,-,493,493,489,438,-,41,10,4,-,-,3.0621118012,3.0621118012,3.0562500000,3.2932330827,-,2.1578947368,1.2500000000,4.0000000000,-,-
1443,"25204","1030","2","","","","é†âÍåß","ãﬂç]î™î¶és","êôêXí¨","",154,150,149,146,-,1,2,1,4,-,454,450,449,446,-,1,2,1,4,-,2.9480519481,3.0000000000,3.0134228188,3.0547945205,-,1.0000000000,1.0000000000,1.0000000000,1.0000000000,-
1444,"25204","1040","2","","","","é†âÍåß","ãﬂç]î™î¶és","í∑ìcí¨","",110,109,109,108,-,-,1,-,1,-,363,362,362,356,-,-,6,-,1,-,3.3000000000,3.3211009174,3.3211009174,3.2962962963,-,-,6.0000000000,-,1.0000000000,-
1445,"25204","1050","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºèØí¨","",463,460,458,446,-,8,4,2,3,-,1471,1467,1462,1433,-,20,9,5,4,-,3.1771058315,3.1891304348,3.1921397380,3.2130044843,-,2.5000000000,2.2500000000,2.5000000000,1.3333333333,-
1446,"25204","1060","2","","","","é†âÍåß","ãﬂç]î™î¶és","êÛè¨à‰í¨","",226,225,222,202,-,18,2,3,1,-,739,738,729,679,-,48,2,9,1,-,3.2699115044,3.2800000000,3.2837837838,3.3613861386,-,2.6666666667,1.0000000000,3.0000000000,1.0000000000,-
1447,"25204","1070","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìÏñ{ãΩí¨","",65,64,64,52,-,11,1,-,1,-,168,164,164,137,-,26,1,-,4,-,2.5846153846,2.5625000000,2.5625000000,2.6346153846,-,2.3636363636,1.0000000000,-,4.0000000000,-
1448,"25204","1080","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìÏñ{ãΩí¨","",62,61,59,54,-,5,-,2,1,-,144,143,138,128,-,10,-,5,1,-,2.3225806452,2.3442622951,2.3389830508,2.3703703704,-,2.0000000000,-,2.5000000000,1.0000000000,-
1449,"25204","1090","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìÏñ{ãΩí¨","",86,85,85,76,-,9,-,-,1,-,210,206,206,181,-,25,-,-,4,-,2.4418604651,2.4235294118,2.4235294118,2.3815789474,-,2.7777777778,-,-,4.0000000000,-
1450,"25204","1100","2","","","","é†âÍåß","ãﬂç]î™î¶és","í|í¨","",56,55,55,53,-,2,-,-,1,-,177,174,174,172,-,2,-,-,3,-,3.1607142857,3.1636363636,3.1636363636,3.2452830189,-,1.0000000000,-,-,3.0000000000,-
1451,"25204","1110","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìåí¨","",57,57,57,56,-,1,-,-,-,-,196,196,196,194,-,2,-,-,-,-,3.4385964912,3.4385964912,3.4385964912,3.4642857143,-,2.0000000000,-,-,-,-
1452,"25204","1120","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcñ{í¨","",359,357,357,336,6,13,2,-,2,-,1020,1014,1014,954,16,38,6,-,6,-,2.8412256267,2.8403361345,2.8403361345,2.8392857143,2.6666666667,2.9230769231,3.0000000000,-,3.0000000000,-
1453,"25204","1130","2","","","","é†âÍåß","ãﬂç]î™î¶és","êÏå¥í¨","",77,77,77,72,-,4,1,-,-,-,214,214,214,199,-,11,4,-,-,-,2.7792207792,2.7792207792,2.7792207792,2.7638888889,-,2.7500000000,4.0000000000,-,-,-
1454,"25204","1140","2","","","","é†âÍåß","ãﬂç]î™î¶és","êÏå¥í¨","",59,59,59,57,-,2,-,-,-,-,145,145,145,142,-,3,-,-,-,-,2.4576271186,2.4576271186,2.4576271186,2.4912280702,-,1.5000000000,-,-,-,-
1455,"25204","1150","2","","","","é†âÍåß","ãﬂç]î™î¶és","à¿ó{éõí¨","",185,185,183,175,-,8,-,2,-,-,516,516,511,491,-,20,-,5,-,-,2.7891891892,2.7891891892,2.7923497268,2.8057142857,-,2.5000000000,-,2.5000000000,-,-
1456,"25204","1160","2","","","","é†âÍåß","ãﬂç]î™î¶és","è„ñÏí¨","",242,242,242,203,-,34,5,-,-,-,589,589,589,516,-,59,14,-,-,-,2.4338842975,2.4338842975,2.4338842975,2.5418719212,-,1.7352941176,2.8000000000,-,-,-
1457,"25204","1170","2","","","","é†âÍåß","ãﬂç]î™î¶és","å√êÏí¨","",500,499,499,476,-,14,9,-,1,-,1494,1493,1493,1450,-,34,9,-,1,-,2.9880000000,2.9919839679,2.9919839679,3.0462184874,-,2.4285714286,1.0000000000,-,1.0000000000,-
1458,"25204","1180","2","","","","é†âÍåß","ãﬂç]î™î¶és","óŒí¨","",54,54,54,54,-,-,-,-,-,-,134,134,134,134,-,-,-,-,-,-,2.4814814815,2.4814814815,2.4814814815,2.4814814815,-,-,-,-,-,-
1459,"25204","1190","2","","","","é†âÍåß","ãﬂç]î™î¶és","óŒí¨","",38,38,37,36,-,1,-,1,-,-,102,102,99,97,-,2,-,3,-,-,2.6842105263,2.6842105263,2.6756756757,2.6944444444,-,2.0000000000,-,3.0000000000,-,-
1460,"25204","1200","2","","","","é†âÍåß","ãﬂç]î™î¶és","óŒí¨","",91,91,91,82,-,9,-,-,-,-,247,247,247,226,-,21,-,-,-,-,2.7142857143,2.7142857143,2.7142857143,2.7560975610,-,2.3333333333,-,-,-,-
1461,"25204","1210","2","","","","é†âÍåß","ãﬂç]î™î¶és","óŒí¨","",88,88,88,86,-,2,-,-,-,-,237,237,237,229,-,8,-,-,-,-,2.6931818182,2.6931818182,2.6931818182,2.6627906977,-,4.0000000000,-,-,-,-
1462,"25204","1220","2","","","","é†âÍåß","ãﬂç]î™î¶és","âvìcí¨","",39,39,39,39,-,-,-,-,-,-,137,137,137,137,-,-,-,-,-,-,3.5128205128,3.5128205128,3.5128205128,3.5128205128,-,-,-,-,-,-
1463,"25204","1230","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñˆí¨","",75,75,75,70,-,4,1,-,-,-,195,195,195,183,-,11,1,-,-,-,2.6000000000,2.6000000000,2.6000000000,2.6142857143,-,2.7500000000,1.0000000000,-,-,-
1464,"25204","1240","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñˆí¨","",57,57,57,54,-,3,-,-,-,-,154,154,154,144,-,10,-,-,-,-,2.7017543860,2.7017543860,2.7017543860,2.6666666667,-,3.3333333333,-,-,-,-
1465,"25204","1250","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñˆí¨","",67,67,67,63,-,4,-,-,-,-,170,170,170,162,-,8,-,-,-,-,2.5373134328,2.5373134328,2.5373134328,2.5714285714,-,2.0000000000,-,-,-,-
1466,"25204","1260","2","","","","é†âÍåß","ãﬂç]î™î¶és","íÜè¨êXí¨","",61,61,61,61,-,-,-,-,-,-,201,201,201,201,-,-,-,-,-,-,3.2950819672,3.2950819672,3.2950819672,3.2950819672,-,-,-,-,-,-
1467,"25204","1270","2","","","","é†âÍåß","ãﬂç]î™î¶és","íÜè¨êXí¨","",1158,1047,1041,833,44,155,9,6,111,-,2833,2714,2706,2332,98,262,14,8,119,-,2.4464594128,2.5921680993,2.5994236311,2.7995198079,2.2272727273,1.6903225806,1.5555555556,1.3333333333,1.0720720721,-
1468,"25204","1280","2","","","","é†âÍåß","ãﬂç]î™î¶és","ê‘îˆí¨","",40,40,40,39,-,1,-,-,-,-,116,116,116,115,-,1,-,-,-,-,2.9000000000,2.9000000000,2.9000000000,2.9487179487,-,1.0000000000,-,-,-,-
1469,"25204","1290","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÂêXí¨","",177,177,176,169,2,5,-,1,-,-,511,511,510,496,2,12,-,1,-,-,2.8870056497,2.8870056497,2.8977272727,2.9349112426,1.0000000000,2.4000000000,-,1.0000000000,-,-
1470,"25204","1300","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñxè„í¨","",1173,1161,1158,765,6,352,35,3,12,-,2819,2805,2798,2073,18,640,67,7,14,-,2.4032395567,2.4160206718,2.4162348877,2.7098039216,3.0000000000,1.8181818182,1.9142857143,2.3333333333,1.1666666667,-
1471,"25204","1310","2","","","","é†âÍåß","ãﬂç]î™î¶és","îííπí¨","",400,395,393,147,-,226,20,2,5,-,853,843,835,440,-,365,30,8,10,-,2.1325000000,2.1341772152,2.1246819338,2.9931972789,-,1.6150442478,1.5000000000,4.0000000000,2.0000000000,-
1472,"25204","1320","2","","","","é†âÍåß","ãﬂç]î™î¶és","ì˙ãgñÏí¨","",538,536,534,481,-,50,3,2,2,-,1431,1424,1418,1309,-,104,5,6,7,-,2.6598513011,2.6567164179,2.6554307116,2.7214137214,-,2.0800000000,1.6666666667,3.0000000000,3.5000000000,-
1473,"25204","1330","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ã{í¨","",315,311,307,288,-,17,2,4,4,-,790,783,776,741,-,33,2,7,7,-,2.5079365079,2.5176848875,2.5276872964,2.5729166667,-,1.9411764706,1.0000000000,1.7500000000,1.7500000000,-
1474,"25204","1340","2","","","","é†âÍåß","ãﬂç]î™î¶és","î™ñÿí¨","",105,105,103,101,-,2,-,2,-,-,319,319,314,309,-,5,-,5,-,-,3.0380952381,3.0380952381,3.0485436893,3.0594059406,-,2.5000000000,-,2.5000000000,-,-
1475,"25204","1350","2","","","","é†âÍåß","ãﬂç]î™î¶és","é¬å¥í¨","",173,173,173,172,-,1,-,-,-,-,466,466,466,465,-,1,-,-,-,-,2.6936416185,2.6936416185,2.6936416185,2.7034883721,-,1.0000000000,-,-,-,-
1476,"25204","1360","2","","","","é†âÍåß","ãﬂç]î™î¶és","é¬å¥í¨","",152,152,151,145,-,6,-,1,-,-,360,360,359,344,-,15,-,1,-,-,2.3684210526,2.3684210526,2.3774834437,2.3724137931,-,2.5000000000,-,1.0000000000,-,-
1477,"25204","1370","2","","","","é†âÍåß","ãﬂç]î™î¶és","é¬å¥í¨","",131,128,126,121,-,5,-,2,3,-,349,346,344,327,-,17,-,2,3,-,2.6641221374,2.7031250000,2.7301587302,2.7024793388,-,3.4000000000,-,1.0000000000,1.0000000000,-
1478,"25204","1380","2","","","","é†âÍåß","ãﬂç]î™î¶és","înï£í¨","",828,724,722,549,71,33,69,2,104,-,2161,2052,2047,1750,160,45,92,5,109,-,2.6099033816,2.8342541436,2.8351800554,3.1876138434,2.2535211268,1.3636363636,1.3333333333,2.5000000000,1.0480769231,-
1479,"25204","1390","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìåâ°ä÷í¨","",45,44,44,43,-,1,-,-,1,-,152,149,149,148,-,1,-,-,3,-,3.3777777778,3.3863636364,3.3863636364,3.4418604651,-,1.0000000000,-,-,3.0000000000,-
1480,"25204","1400","2","","","","é†âÍåß","ãﬂç]î™î¶és","êÁëmãüí¨","",150,149,147,107,-,24,16,2,1,-,447,445,440,357,-,39,44,5,2,-,2.9800000000,2.9865771812,2.9931972789,3.3364485981,-,1.6250000000,2.7500000000,2.5000000000,2.0000000000,-
